NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-09-10;2021-09-16;Si;;;207.9061;98.2570;69;8938.5395;5590;687;1.8205;36;0;16;53;16;56;16;3487;468;60;93
CATALUNYA;GLOBAL;2021-09-10;2021-09-16;No;75.181;0.87219;86.1979;37.8133;2926;1552.0022;86612;33482;3.0820;276;59;43;1546;1380;1655;1404;70402;28852;50731;63023
CATALUNYA;GLOBAL;2021-09-09;2021-09-15;No;78.2808;0.882484;88.7050;39.1186;3027;1587.8901;90299;32572;3.1563;279;62;51;1568;1459;1717;1472;72958;28078;55277;67870
CATALUNYA;GLOBAL;2021-09-09;2021-09-15;--;;;0.0000;0.0000;134;0.0000;8632;14;0.8637;50;44;0;80;54;74;0;8555;13;893;1003
CATALUNYA;GLOBAL;2021-09-09;2021-09-15;Si;;;195.0899;81.1688;57;8709.2731;5441;675;1.6103;35;0;12;44;13;48;13;3342;446;61;92
CATALUNYA;GLOBAL;2021-09-08;2021-09-14;Si;;;212.1781;85.4408;60;8976.9879;5621;683;1.8023;33;0;13;43;17;53;17;3429;455;65;87
CATALUNYA;GLOBAL;2021-09-08;2021-09-14;No;82.3396;0.897008;91.7936;41.0054;3173;1614.0596;92395;32501;3.2492;291;59;51;1624;1549;1769;1559;74456;27969;58611;74157
CATALUNYA;GLOBAL;2021-09-08;2021-09-14;--;;;0.0000;0.0000;143;0.0000;8784;15;0.9402;47;6;1;89;54;81;1;8708;14;914;1041
CATALUNYA;GLOBAL;2021-09-07;2021-09-13;--;;;0.0000;0.0000;145;0.0000;8725;17;0.9005;42;5;1;90;55;77;1;8646;16;948;1114
CATALUNYA;GLOBAL;2021-09-07;2021-09-13;Si;;;223.5702;85.4408;60;9479.6650;6006;651;1.5470;29;0;11;40;20;44;20;3697;440;58;98
CATALUNYA;GLOBAL;2021-09-07;2021-09-13;No;86.4724;0.908642;95.1666;43.1506;3339;1622.2788;92737;32795;3.3663;312;63;59;1700;1639;1791;1663;74499;28107;63740;81516
CATALUNYA;GLOBAL;2021-09-06;2021-09-12;No;90.9574;0.916683;99.2245;44.8436;3470;1619.7200;92284;33050;3.5380;333;71;67;1725;1745;1852;1770;74004;28371;65382;98412
CATALUNYA;GLOBAL;2021-09-06;2021-09-12;--;;;0.0000;0.0000;155;0.0000;8690;18;0.9278;34;5;2;96;59;79;1;8606;17;959;1158
