NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCR;PCR;PERC_PCR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS
ALT CAMP;01;2020-08-27;2020-09-02;No;283.276;1.47657;116.4782;51;952.3809;417;12.1287;1;0;0
ALT CAMP;01;2020-08-26;2020-09-01;Si;;;0.0000;0;795.2286;4;0.0000;0;0;0
ALT CAMP;01;2020-08-26;2020-09-01;No;311.432;1.60424;125.6137;55;922.6904;404;13.1980;2;0;0
ALT CAMP;01;2020-08-25;2020-08-31;Si;;;0.0000;0;596.4214;3;0.0000;0;0;0
ALT CAMP;01;2020-08-25;2020-08-31;No;329.269;1.61989;121.0460;53;911.2709;399;11.8557;3;0;0
ALT CAMP;01;2020-08-24;2020-08-30;No;306.489;1.56042;114.1943;50;924.9743;405;11.4213;3;0;0
ALT CAMP;01;2020-08-24;2020-08-30;Si;;;0.0000;0;795.2286;4;0.0000;0;0;0
ALT CAMP;01;2020-08-23;2020-08-29;Si;;;0.0000;0;994.0357;5;0.0000;0;0;0
ALT CAMP;01;2020-08-23;2020-08-29;No;291.249;1.50027;111.9104;49;929.5420;407;11.1111;4;0;0
ALT CAMP;01;2020-08-22;2020-08-28;Si;;;0.0000;0;994.0357;5;0.0000;0;0;0
ALT CAMP;01;2020-08-22;2020-08-28;No;256.335;1.32043;107.3426;47;892.9998;391;11.0526;4;0;0
ALT CAMP;01;2020-08-21;2020-08-27;Si;;;0.0000;0;4970.1789;25;0.0000;0;0;0
ALT CAMP;01;2020-08-21;2020-08-27;No;210.954;1.08666;109.6265;48;988.9231;433;9.6244;4;0;0
ALT CAMP;01;2020-08-20;2020-08-26;No;151.246;0.919764;75.3682;33;883.8643;387;6.8241;3;0;0
ALT CAMP;01;2020-08-20;2020-08-26;Si;;;0.0000;0;5367.7932;27;0.0000;0;0;0
ALT CAMP;01;2020-08-19;2020-08-25;No;151.921;1.00786;68.5166;30;877.0126;384;7.1618;2;0;0
ALT CAMP;01;2020-08-19;2020-08-25;Si;;;0.0000;0;5566.6003;28;0.0000;0;0;0
ALT CAMP;01;2020-08-18;2020-08-24;Si;;;0.0000;0;5765.4075;29;0.0000;0;0;0
ALT CAMP;01;2020-08-18;2020-08-24;No;180.943;1.2379;82.2199;36;899.8515;394;9.5361;1;0;0
ALT CAMP;01;2020-08-17;2020-08-23;Si;;;0.0000;0;5964.2147;30;0.0000;0;0;0
ALT CAMP;01;2020-08-17;2020-08-23;No;198.027;1.35478;82.2199;36;915.8387;401;8.6076;2;0;1
ALT CAMP;01;2020-08-16;2020-08-22;Si;;;0.0000;0;5964.2147;30;0.0000;0;0;0
ALT CAMP;01;2020-08-16;2020-08-22;No;207.699;1.44351;82.2199;36;899.8515;394;9.0206;1;0;1
ALT CAMP;01;2020-08-15;2020-08-21;No;213.687;1.61315;86.7877;38;920.4065;403;9.8237;1;0;1
ALT CAMP;01;2020-08-15;2020-08-21;Si;;;0.0000;0;6163.0218;31;0.0000;0;0;0
ALT CAMP;01;2020-08-14;2020-08-20;Si;;;0.0000;0;1988.0715;10;0.0000;0;0;0
ALT CAMP;01;2020-08-14;2020-08-20;No;264.434;2.18458;84.5038;37;790.2249;346;10.5882;1;0;1
ALT CAMP;01;2020-08-13;2020-08-19;Si;;;0.0000;0;1590.4572;8;0.0000;0;0;0
ALT CAMP;01;2020-08-13;2020-08-19;No;313.701;2.74708;89.0715;39;765.1022;335;11.5502;1;0;1
ALT CAMP;01;2020-08-12;2020-08-18;Si;;;0.0000;0;1391.6500;7;0.0000;0;0;0
ALT CAMP;01;2020-08-12;2020-08-18;No;330.628;3.14708;82.2199;36;746.8311;327;10.2804;1;0;1
