EXITUS
30
0
5
33
0
4
0
7
29
29
0
11
0
10
35
32
0
13
14
32
0
0
15
32
34
0
18
0
16
43
51
0
12
13
51
1
1
11
59
67
2
11
3
9
71
72
3
7
7
74
3
3
9
71
75
2
11
2
14
74
66
1
17
18
64
0
0
20
67
65
0
19
0
19
69
82
0
17
0
16
82
0
14
87
93
1
17
1
19
91
96
1
22
2
24
100
4
30
91
110
5
35
5
37
114
119
4
38
5
44
125
126
5
53
127
4
61
2
61
133
130
1
61
2
66
139
2
67
136
145
1
65
1
66
148
148
1
59
2
55
154
150
3
54
146
2
53
2
56
148
149
2
54
2
54
157
162
2
58
162
1
67
1
69
164
157
1
74
1
75
167
174
1
80
76
162
1
1
73
150
137
1
64
0
58
125
134
0
47
41
114
0
0
31
91
93
0
23
0
18
87
79
0
14
10
76
0
0
9
58
55
0
5
0
3
52
35
0
4
3
34
0
0
3
28
22
0
4
0
3
19
19
0
3
0
3
18
0
2
17
13
0
3
0
3
14
13
0
2
0
2
12
0
5
10
8
0
5
0
4
8
8
0
3
0
3
8
9
0
5
10
0
5
0
4
10
9
0
4
0
5
10
0
5
13
15
0
6
0
4
12
15
0
4
0
3
14
15
0
5
16
0
4
1
5
16
12
1
5
1
6
15
14
1
6
16
1
5
1
3
15
15
1
3
0
2
15
21
0
1
0
20
0
0
2
23
22
0
2
0
2
24
28
0
5
7
25
0
0
7
24
25
0
8
0
7
28
30
0
7
7
30
0
0
4
29
33
0
3
0
3
35
38
0
3
3
36
0
0
4
39
40
0
5
0
5
43
49
0
4
0
4
48
0
3
56
55
0
2
0
2
62
69
0
4
1
4
70
1
6
73
84
1
7
1
8
86
98
1
8
1
7
99
96
1
5
104
0
5
0
4
106
104
0
3
0
2
111
0
2
103
104
0
3
0
5
110
108
0
5
0
6
105
103
1
8
97
1
8
1
9
104
100
1
9
1
11
101
105
2
13
110
2
14
1
15
123
125
1
15
1
14
130
128
1
14
10
130
1
0
12
137
144
0
10
0
9
142
148
1
10
10
146
1
1
10
150
145
1
11
1
11
145
141
1
12
12
138
1
0
11
130
136
0
11
0
11
140
136
0
10
6
126
1
1
5
115
105
2
4
3
6
110
107
3
6
3
6
107
4
7
118
110
3
9
3
8
110
114
2
9
1
9
113
2
13
104
101
2
13
2
12
101
110
2
15
2
17
114
126
2
18
128
2
17
1
16
140
145
1
15
0
17
150
0
14
154
166
0
16
0
16
165
166
0
16
0
15
168
168
1
19
178
2
19
2
18
186
186
2
18
2
19
187
183
2
20
179
2
21
2
25
187
181
1
27
1
31
166
181
1
29
31
189
1
1
29
223
240
1
32
0
27
236
244
1
36
36
1
271
1
38
277
284
1
46
2
49
279
281
2
57
4
66
296
311
3
64
323
3
75
3
90
324
334
3
90
2
100
343
333
3
103
350
2
108
2
117
361
364
3
134
3
133
376
378
4
146
150
382
6
6
167
419
423
6
179
6
176
408
412
5
180
188
404
5
5
184
409
402
5
194
6
183
380
378
5
176
177
375
6
7
161
362
371
7
154
8
148
355
347
6
145
138
349
4
5
133
336
336
4
136
3
132
328
311
4
129
2
125
292
2
122
281
267
2
114
1
109
262
257
4
107
7
99
254
7
97
245
256
7
96
7
85
257
256
7
90
7
96
241
226
4
92
214
1
95
0
96
198
195
1
101
3
111
180
3
115
162
169
3
107
3
104
170
176
3
102
3
100
175
165
3
93
163
2
87
2
83
160
153
2
85
2
85
150
139
2
89
150
4
96
4
106
152
153
5
106
6
105
163
154
6
114
113
152
6
6
114
165
180
4
116
3
110
189
203
1
114
123
207
1
1
118
225
233
2
131
3
128
234
225
3
127
142
225
3
3
131
208
214
2
126
3
123
210
223
2
110
108
235
2
2
110
235
240
2
106
3
125
262
277
3
130
2
136
281
3
144
279
275
3
155
3
157
293
295
3
159
2
157
299
2
162
300
307
2
171
1
166
313
315
0
168
0
171
324
343
1
161
348
1
165
2
161
346
341
2
152
2
163
337
2
167
343
319
2
149
1
145
301
286
1
129
1
123
281
267
2
113
252
2
95
2
79
236
225
2
81
2
71
209
196
2
63
173
1
64
0
61
170
166
0
59
0
61
148
137
0
57
58
122
0
0
61
111
103
0
52
1
52
99
87
2
56
52
83
3
3
51
76
71
3
54
3
55
71
64
3
54
56
58
2
1
49
52
49
0
44
1
43
48
57
1
41
40
60
1
1
37
62
66
1
35
1
34
65
66
1
34
0
37
68
0
37
60
50
0
33
1
33
54
48
1
28
1
33
51
2
30
51
55
2
22
2
18
63
68
2
17
1
21
65
1
21
66
63
1
15
0
16
59
58
0
18
0
18
56
0
19
55
55
0
12
0
18
51
56
0
18
0
18
62
54
0
24
50
0
25
0
28
53
53
0
27
0
26
55
49
0
28
46
0
29
0
24
50
48
0
26
0
24
42
42
0
32
31
44
0
0
32
45
39
0
32
1
35
36
40
1
33
42
1
33
1
28
40
38
1
25
1
24
39
44
1
27
24
44
0
0
25
40
39
0
27
0
26
45
42
0
30
30
39
0
0
27
37
39
0
28
0
28
36
37
0
28
0
30
29
0
29
29
33
0
30
0
30
37
41
0
29
0
28
44
0
27
43
46
0
27
0
28
49
51
0
28
0
27
46
0
25
39
38
0
24
1
21
39
40
1
19
1
13
39
1
11
33
32
1
9
1
8
29
25
1
9
0
9
20
14
0
7
12
0
9
0
9
12
11
0
9
0
10
10
12
0
9
14
0
10
0
12
12
10
0
10
0
9
11
12
0
11
11
13
0
0
10
17
18
0
10
0
10
18
18
0
12
17
0
12
0
12
16
17
0
12
0
13
10
7
0
12
12
11
0
0
11
13
14
0
14
0
13
15
17
0
12
12
20
0
0
13
20
22
0
17
0
20
27
26
0
20
0
20
26
0
24
24
25
0
25
0
22
27
32
0
20
0
19
31
0
21
34
34
1
24
1
25
35
35
1
36
1
43
35
1
45
27
27
1
54
1
56
24
31
0
61
0
61
36
0
55
40
47
0
55
0
60
53
56
0
58
0
65
67
69
0
66
77
0
70
0
77
86
96
0
80
1
70
101
107
1
70
107
1
67
1
77
114
110
1
82
1
84
110
112
2
91
123
117
1
1
140
126
124
1
159
2
164
131
154
2
196
169
3
229
3
259
189
204
3
278
3
303
217
241
4
330
369
240
4
4
379
244
251
4
395
4
425
259
264
5
449
467
284
6
5
490
303
340
4
513
6
533
357
374
10
556
9
602
398
11
636
436
450
12
696
15
750
465
498
21
814
22
892
526
19
970
559
592
20
1010
17
1073
600
627
16
1148
17
1213
674
14
1250
706
780
12
1299
12
1334
833
873
14
1388
16
1402
950
20
1392
1000
1048
21
1377
22
1384
1108
1156
23
1365
25
1319
1211
1317
24
1243
1415
26
1209
25
1137
1494
1560
23
1053
22
959
1611
1628
21
860
1644
20
761
19
673
1571
1463
17
575
13
493
1349
1210
12
423
345
1059
9
8
287
896
746
5
250
5
218
603
478
4
181
395
4
156
2
142
332
265
2
129
2
106
218
160
3
91
73
126
2
1
56
103
76
1
42
1
25
50
30
1
15
10
17
1
0
6
12
9
0
3
0
2
5
2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
