setmana_epidemiologica
12
44
32
27
42
11
22
4
35
28
5
44
19
3
27
36
2
39
22
51
45
20
49
13
21
27
41
44
39
8
27
50
8
42
21
40
29
46
18
42
39
51
50
43
45
40
28
26
40
36
35
23
38
40
13
28
13
11
21
13
39
4
21
41
20
38
39
47
46
27
13
46
22
27
46
44
38
19
7
31
24
33
6
13
46
39
40
3
18
18
51
26
6
51
15
51
28
13
49
26
41
9
24
5
32
13
24
19
25
31
37
21
20
22
38
2
15
27
11
21
14
45
51
13
48
10
13
11
47
39
9
23
13
46
31
1
13
27
48
44
1
21
47
44
24
26
16
22
27
50
50
45
39
4
30
30
40
50
37
1
45
44
44
40
23
1
24
42
19
49
29
11
12
47
3
46
4
41
12
37
46
30
43
42
23
18
32
42
5
11
28
18
32
38
47
25
3
13
29
13
50
43
36
19
44
7
22
35
13
7
3
21
46
8
38
20
34
27
48
18
31
19
18
32
9
27
46
8
5
13
24
2
31
25
45
39
13
19
20
41
13
21
30
37
14
38
6
39
13
10
23
39
13
20
47
46
25
43
39
19
41
42
11
6
22
39
7
45
50
46
29
5
8
52
3
49
13
14
47
38
47
26
19
30
36
49
4
12
45
17
3
10
46
18
1
1
34
51
13
22
24
40
22
30
29
46
13
13
51
37
45
38
40
9
20
17
45
2
45
42
2
49
5
34
37
47
43
8
2
51
13
38
26
48
50
22
44
20
5
12
10
48
13
14
15
4
6
45
13
21
27
35
41
6
35
40
42
43
47
26
47
36
51
19
50
33
47
47
13
21
33
24
35
27
18
25
30
21
32
43
1
45
40
22
34
1
44
40
1
41
22
41
44
40
29
26
43
45
51
7
13
46
39
13
3
13
17
41
25
6
4
27
49
26
39
39
45
20
14
49
32
13
23
35
35
19
46
3
44
44
11
6
37
9
40
40
41
47
49
28
5
9
44
42
23
21
40
41
10
26
24
6
46
46
50
4
31
34
4
32
26
31
3
7
14
41
34
23
12
17
6
46
39
11
33
13
45
6
37
11
43
49
40
52
13
52
1
13
3
43
40
9
21
23
45
22
14
17
8
48
33
52
26
25
42
11
32
39
4
3
3
31
13
49
4
15
2
48
13
22
35
46
15
13
44
36
34
4
33
24
40
43
49
4
42
6
18
45
3
43
11
30
13
19
10
7
43
1
40
37
31
46
52
52
45
13
33
25
8
50
29
45
28
3
47
16
51
27
37
32
27
40
41
45
41
21
42
22
32
9
45
41
39
18
34
6
13
26
14
43
11
37
29
28
7
15
41
5
4
21
20
52
26
44
23
13
50
24
12
28
48
37
39
40
42
17
41
19
15
49
4
13
9
13
29
16
47
4
43
11
4
47
45
12
4
45
36
20
17
2
40
24
49
13
31
26
38
47
23
45
40
50
13
47
5
51
34
40
9
37
13
40
29
39
24
52
13
5
11
21
28
44
6
27
45
32
34
38
45
26
28
10
7
39
42
30
44
48
51
19
4
13
13
19
21
29
42
1
29
9
13
6
41
47
24
36
26
28
50
26
28
23
19
49
22
15
43
10
3
42
13
25
19
13
48
13
39
30
32
52
45
42
24
27
39
20
36
3
4
35
13
9
20
16
3
42
45
5
45
45
37
5
23
5
39
2
20
38
18
45
12
44
7
13
38
26
20
5
33
6
7
11
12
27
23
30
38
43
52
29
34
13
29
33
47
3
42
4
15
2
48
39
36
41
28
31
28
21
25
17
51
5
33
49
45
25
36
52
23
4
35
22
31
38
10
37
44
20
44
13
34
41
20
44
7
4
8
13
24
37
23
35
11
45
37
7
36
36
39
22
1
43
46
47
7
41
4
49
42
19
10
28
42
22
42
12
21
51
30
39
34
8
26
43
39
7
43
8
42
50
10
51
36
1
13
38
35
12
50
4
42
21
24
29
21
14
24
18
43
37
45
4
36
45
36
45
22
38
44
34
34
22
31
50
22
24
30
44
30
25
2
37
25
4
40
39
47
25
13
38
36
13
13
13
13
43
49
10
14
39
38
42
40
29
7
22
30
39
32
9
13
9
46
22
42
50
13
41
35
42
29
6
46
37
21
2
19
44
37
24
46
43
46
19
38
44
7
6
14
23
17
16
35
42
38
35
24
37
13
19
45
38
51
39
19
52
21
5
14
13
49
26
17
24
1
49
13
1
21
6
5
45
13
49
18
34
35
20
26
13
13
26
5
38
4
34
9
16
6
27
26
22
52
24
45
31
11
52
41
30
47
41
27
13
8
3
49
3
38
17
44
26
48
42
46
42
12
43
1
5
51
39
2
23
45
39
22
25
2
20
33
52
31
32
30
52
9
29
22
38
11
2
30
26
13
37
46
45
9
40
41
40
5
43
5
26
16
13
51
38
42
7
13
52
37
47
34
28
13
42
23
51
8
39
6
13
39
41
38
43
14
18
19
25
43
50
29
34
13
3
28
13
34
24
32
13
13
13
19
36
28
19
5
49
52
13
31
38
36
47
18
41
26
39
44
35
47
43
9
43
10
6
14
13
38
19
13
42
40
20
42
19
20
37
5
28
43
35
35
8
4
3
32
12
19
38
39
45
51
20
11
6
28
13
44
40
17
41
33
30
5
27
11
2
44
41
25
50
44
6
5
38
49
44
23
12
13
20
37
6
49
12
13
30
33
9
35
24
52
27
34
25
27
4
10
31
44
44
41
19
37
40
24
1
26
33
2
37
21
8
50
8
7
21
12
16
33
22
38
11
30
13
39
37
2
35
26
15
5
13
13
38
48
17
33
32
20
26
25
21
49
13
3
19
36
40
11
49
37
9
27
44
49
10
45
52
13
3
25
51
12
30
36
36
52
13
32
2
4
45
13
20
22
12
44
32
1
27
47
43
41
20
43
2
19
4
6
13
51
1
17
3
44
33
23
26
13
12
12
37
34
15
3
4
23
1
30
14
44
8
1
9
13
25
4
42
9
7
38
44
17
46
13
40
25
39
50
4
45
47
9
7
3
23
20
37
36
13
45
41
30
32
10
27
30
51
13
13
47
45
43
44
13
37
12
1
25
44
26
30
20
30
47
20
36
32
19
19
33
40
23
32
13
43
52
35
33
1
2
25
16
28
27
50
20
50
21
27
36
43
43
11
48
37
49
29
2
24
47
13
41
35
2
34
47
36
3
13
46
20
13
8
10
39
41
30
48
35
11
16
26
49
25
43
35
27
13
2
9
40
13
34
27
38
33
18
28
48
3
35
4
19
47
44
43
11
29
28
5
22
27
31
46
31
18
8
49
33
46
11
21
8
25
21
13
17
35
35
38
13
39
48
12
13
23
39
52
38
28
9
16
33
1
20
42
20
3
25
27
2
3
39
39
22
43
30
37
15
38
19
22
25
17
25
5
38
43
27
32
40
29
42
47
13
46
44
47
25
49
34
12
35
33
6
3
36
29
28
52
7
39
1
36
38
26
31
38
7
3
19
46
21
6
6
27
6
49
5
45
4
7
52
20
4
42
36
35
40
40
30
46
16
27
43
12
37
32
15
37
18
5
4
17
40
20
6
13
40
17
11
3
42
16
10
29
10
36
13
36
19
48
35
37
3
35
38
16
23
48
1
4
29
42
41
38
13
36
28
27
23
45
12
14
38
38
36
6
45
28
27
50
43
30
43
16
37
27
38
3
1
8
23
2
23
5
50
48
20
7
47
31
14
44
13
42
10
28
5
8
41
10
15
17
7
13
51
50
28
51
12
17
13
40
3
44
7
38
52
30
47
1
20
5
37
8
42
23
7
8
1
14
29
42
6
15
35
13
17
28
37
28
1
21
39
23
12
13
24
4
44
17
1
33
17
20
38
1
20
40
31
30
16
37
43
6
39
38
13
37
7
43
20
9
9
13
11
4
18
24
39
43
19
22
10
44
21
4
42
